name,normalized_name,semesters,source_pages
3_Атлетическая гимнастика ПрФКиС,3_атлетическая гимнастика прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Волейбол ПрФКиС,3_волейбол прфкис,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
3_Волейбол/Баскетбол ПрФКиС,3_волейбол/баскетбол прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Оздоровительное отделение_ПрФКиС,3_оздоровительное отделение_прфкис,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
3_ОФП_ ПрФКиС,3_офп_ прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Плавание ПрФКиС,3_плавание прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Северная ходьба ПрФКиС,3_северная ходьба прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Спортивные игры_ ПрФКиС,3_спортивные игры_ прфкис,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
3_Фиджитал_ ПрФКиС,3_фиджитал_ прфкис,2024 ОФО 3 семестр; 2024 ОФО 5 семестр,3й симместрModeus_ Выбор модулей.htm; 5й семестр.htm
3_Фитнес ПрФКиС,3_фитнес прфкис,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
3_Футбол/флорбол_ ПрФКиС,3_футбол/флорбол_ прфкис,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
3D печать. Аддитивные технологии будущего,3d печать. аддитивные технологии будущего,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Digital-storytelling,digital-storytelling,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
SMM: эффективные коммуникации в социальных сетях,smm: эффективные коммуникации в социальных сетях,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Анализ и визуализация данных на языке R,анализ и визуализация данных на языке r,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
"Арктика: экономика, политика, общество","арктика: экономика, политика, общество",2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Арктиковедение,арктиковедение,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Безопасность в информационном пространстве,безопасность в информационном пространстве,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Введение в данные,введение в данные,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Введение в конфигурирование в системе «1С:Предприятие 8.3»,введение в конфигурирование в системе «1с:предприятие 8.3»,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Ведущие страны мира в XXI веке,ведущие страны мира в xxi веке,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Визуальная культура и исследования,визуальная культура и исследования,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Визуальная культура: история кино,визуальная культура: история кино,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Деловая коммуникация в цифровой среде,деловая коммуникация в цифровой среде,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Деловое письмо,деловое письмо,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
"Деревянный дом: вчера, сегодня, завтра","деревянный дом: вчера, сегодня, завтра",2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Диалог культур и культура диалога,диалог культур и культура диалога,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Диалог культур. Россия – Азия -Африка: геополитика и дипломатия,диалог культур. россия – азия -африка: геополитика и дипломатия,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Еврейская культура в контексте мирового наследия,еврейская культура в контексте мирового наследия,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Изменение климата: проблемы и риски,изменение климата: проблемы и риски,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Имиджелогия,имиджелогия,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Инструменты анализа данных,инструменты анализа данных,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Информационно-справочные системы и правовые базы данных,информационно-справочные системы и правовые базы данных,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Информационное моделирование,информационное моделирование,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Испанский язык и культура (уровень А1),испанский язык и культура (уровень а1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Историческая география,историческая география,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
История аварий и катастроф,история аварий и катастроф,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
История европейской интеграции в контексте отношений ЕС-Россия,история европейской интеграции в контексте отношений ес-россия,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
История развития систем искусственного интеллекта,история развития систем искусственного интеллекта,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
История развития управленческой мысли,история развития управленческой мысли,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
История: 5 подходов к историческому развитию,история: 5 подходов к историческому развитию,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Коммуникативное поведение в профессиональной деятельности,коммуникативное поведение в профессиональной деятельности,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Коммуникация в проектной научной деятельности,коммуникация в проектной научной деятельности,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
"Концепция ""петли качества""",концепция петли качества,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Лидерство и командообразование: включение обучающихся в проектную деятельность,лидерство и командообразование: включение обучающихся в проектную деятельность,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
"Материалы: прошлое, настоящее и будущее","материалы: прошлое, настоящее и будущее",2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Медиаграмотность,медиаграмотность,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Межкультурное разнообразие в глобальном мире,межкультурное разнообразие в глобальном мире,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Мир вещей в истории искусства,мир вещей в истории искусства,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Мировое культурное наследие,мировое культурное наследие,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Мифология,мифология,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Моделирование бизнес-процессов,моделирование бизнес-процессов,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Музейная коммуникация,музейная коммуникация,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Немецкий язык и культура (уровень А1.1),немецкий язык и культура (уровень а1.1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Норвежский язык и культура для начинающих (уровень А1.1),норвежский язык и культура для начинающих (уровень а1.1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Облачные сервисы,облачные сервисы,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Оздоровительная гимнастика,оздоровительная гимнастика,2024 ОФО 5 семестр,5й семестр.htm
Опасные производственные объекты,опасные производственные объекты,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Ораторское искусство,ораторское искусство,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Основные концепции биологии и экологии,основные концепции биологии и экологии,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Основы визуальной коммуникации,основы визуальной коммуникации,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Основы демографии,основы демографии,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Основы китайского языка и культуры Китая (уровень А1),основы китайского языка и культуры китая (уровень а1),2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Основы компьютерного дизайна,основы компьютерного дизайна,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Основы охраны объектов культурного наследия,основы охраны объектов культурного наследия,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Основы работы с данными,основы работы с данными,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Основы экспертной деятельности,основы экспертной деятельности,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Практикум по развитию критического и креативного мышления,практикум по развитию критического и креативного мышления,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Программирование и разработка веб-приложений,программирование и разработка веб-приложений,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Противодействие распространению идеологии терроризма и экстремизма в молодежной среде,противодействие распространению идеологии терроризма и экстремизма в молодежной среде,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Профессиональная этика,профессиональная этика,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Профессиональный имидж,профессиональный имидж,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Профилактика экстремизма в области межнациональных и межрелигиозных отношений,профилактика экстремизма в области межнациональных и межрелигиозных отношений,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Психология предпринимательства,психология предпринимательства,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
Развитие графического дизайна и технологий лазерной резки: от идеи – к реальности,развитие графического дизайна и технологий лазерной резки: от идеи – к реальности,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Разработка мобильных приложений,разработка мобильных приложений,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Разработка на платформе 1С:Предприятие,разработка на платформе 1с:предприятие,2024 ОФО 4 семестр,4й семестр Modeus_ Выбор модулей.htm
Речевой этикет: вежливость и коммуникативные стратегии,речевой этикет: вежливость и коммуникативные стратегии,2024 ОФО 3 семестр,3й симместрModeus_ Выбор модулей.htm
